study_hours,attendance,previous_score,assignment_score,internal_marks,sleep_hours,participation,parental_support,extracurricular,final_score
5.4,91.5,62.7,68.0,15.1,7.0,6,3,1,77.6
3.8,86.9,50.2,51.1,12.5,7.1,5,2,1,60.4
3.6,97.4,65.6,54.8,14.1,7.8,7,3,1,77.6
3.6,85.3,76.4,66.6,13.6,8.8,5,3,0,74.3
9.0,79.5,51.1,55.2,13.6,5.3,6,2,0,78.1
6.2,96.1,79.3,71.1,20.1,6.7,9,2,1,93.6
3.1,74.2,56.1,40.4,13.8,6.5,6,3,1,57.3
5.5,86.4,61.2,50.9,12.6,7.3,7,2,0,67.1
4.7,95.5,75.4,64.0,16.9,7.0,9,3,0,83.4
1.1,72.6,58.7,49.0,10.9,6.4,7,3,0,52.1
2.2,93.4,68.5,66.2,17.6,6.3,10,2,1,73.1
4.9,98.6,63.6,43.6,14.9,5.6,6,1,1,73.5
8.5,90.0,69.8,62.4,12.5,7.9,6,2,0,79.1
3.6,98.7,34.7,44.4,8.8,7.3,7,3,1,56.2
3.0,97.9,42.4,43.2,11.7,7.8,7,2,1,59.0
4.4,90.2,76.6,56.9,16.3,6.5,8,1,1,75.4
2.9,97.7,82.5,66.2,17.4,6.1,10,2,0,86.4
3.5,88.3,55.3,30.0,10.7,5.6,6,2,0,51.2
4.1,81.5,64.6,49.1,16.0,7.2,7,2,0,69.8
2.1,73.7,72.1,48.7,14.8,5.7,4,2,1,62.4
6.3,93.8,77.7,68.8,13.0,8.8,10,2,1,84.4
1.9,91.6,39.6,40.2,9.5,5.4,5,1,1,42.6
1.7,95.7,55.6,53.4,15.1,7.1,6,3,0,66.4
4.6,92.8,63.3,70.1,13.9,8.5,6,2,0,75.8
6.1,72.8,77.8,65.9,20.8,7.5,5,3,0,82.3
4.5,80.9,100.0,77.7,22.1,7.0,6,3,1,96.4
3.9,92.0,64.8,54.1,15.5,5.7,6,2,0,71.0
3.5,98.7,48.3,57.2,11.6,5.3,4,2,0,55.5
3.1,98.8,73.6,62.4,16.3,7.6,6,2,1,73.0
7.1,90.8,86.5,66.0,18.4,8.5,10,2,0,96.4
4.9,87.4,69.5,62.1,15.2,6.3,8,2,1,78.1
3.3,76.0,55.3,44.0,14.2,5.5,7,3,0,59.0
2.7,89.1,81.4,76.6,15.9,4.1,9,2,1,74.7
5.7,83.5,77.3,59.8,15.0,5.7,9,3,1,79.7
7.0,97.5,53.6,59.8,10.8,6.7,4,1,1,68.4
6.7,80.9,73.3,70.1,20.6,8.6,4,1,1,81.9
2.5,84.7,82.0,71.8,18.9,7.5,5,3,1,73.8
3.4,96.6,84.5,57.2,19.0,7.1,7,2,1,85.3
3.1,75.4,67.1,57.5,13.1,6.4,5,2,1,67.4
3.7,92.3,63.0,64.2,15.8,6.2,6,2,1,68.8
6.3,84.9,85.2,72.2,18.4,8.3,7,1,0,87.6
8.1,92.3,51.1,43.2,13.0,7.0,6,2,0,68.5
5.0,96.2,74.1,58.4,14.6,4.5,6,1,0,71.9
2.8,86.2,48.8,57.1,12.2,6.1,3,2,1,56.6
4.0,82.2,82.9,57.1,17.3,5.9,5,2,1,75.1
8.9,73.1,64.4,49.6,13.5,6.2,5,3,1,83.3
4.3,93.6,85.8,80.7,20.1,7.4,7,2,0,87.6
3.5,79.0,74.9,58.2,13.6,6.7,5,1,1,65.0
3.6,97.4,50.9,47.8,13.5,6.7,6,2,0,60.5
5.0,84.4,87.9,59.1,20.4,8.2,5,1,1,86.8
2.5,91.2,89.7,71.8,17.5,6.0,7,1,0,74.1
3.1,71.8,80.4,48.1,16.0,8.9,4,1,1,64.0
6.6,87.4,57.3,51.3,13.2,6.1,5,2,0,74.5
4.9,93.8,63.7,60.9,15.3,6.9,5,1,0,72.7
4.3,83.9,70.0,68.3,15.5,6.5,6,2,1,75.9
6.8,82.7,58.1,57.5,14.7,6.9,5,3,1,81.7
2.7,84.4,91.7,62.1,23.2,7.3,8,2,0,86.1
3.4,84.1,70.0,67.4,14.8,7.3,7,1,1,69.5
4.8,89.4,30.2,39.4,8.0,6.0,5,1,0,47.8
4.8,87.5,72.8,50.4,18.0,5.6,5,2,1,71.7
1.6,65.0,63.1,47.5,17.8,9.5,6,3,1,66.7
3.2,92.5,67.0,70.8,16.0,6.3,8,1,0,75.7
3.8,87.4,62.8,57.1,12.3,7.6,6,3,1,71.5
5.1,90.1,79.3,64.2,17.3,5.0,9,2,0,85.8
4.7,85.4,83.7,77.7,16.1,6.5,7,2,1,82.6
3.9,94.3,72.0,50.7,17.4,6.7,8,3,1,74.8
1.1,72.0,63.2,40.8,11.7,7.3,6,2,1,53.2
4.1,96.9,67.4,47.9,14.7,4.0,8,3,0,67.1
4.3,91.4,68.3,62.5,13.5,7.0,5,2,0,71.4
10.0,81.9,56.8,52.7,14.0,5.5,5,2,0,80.9
3.7,84.2,76.1,73.1,16.2,7.2,7,2,1,77.7
4.9,89.5,74.4,63.6,17.0,5.7,7,2,1,80.4
7.4,93.5,89.6,66.5,19.5,5.9,8,2,1,95.1
6.1,88.1,85.6,66.3,16.7,6.5,9,1,1,89.4
8.3,96.4,58.4,57.6,15.2,5.6,4,1,0,74.7
1.7,88.2,79.5,50.2,17.3,6.3,5,2,0,61.7
2.2,88.0,54.7,74.0,11.0,5.5,6,2,0,62.8
2.9,73.8,77.7,62.4,21.6,4.8,5,3,0,78.4
1.5,96.4,60.8,59.4,15.0,7.9,10,2,0,69.4
4.3,90.9,53.7,57.7,12.6,5.4,7,2,1,64.3
2.3,87.5,71.9,65.6,18.9,6.6,6,1,0,69.0
8.8,83.6,30.6,39.0,12.6,7.6,4,3,0,65.6
2.6,75.2,43.5,38.2,10.7,6.1,4,2,1,49.2
3.4,93.2,65.5,63.6,15.7,5.9,7,3,0,73.2
6.3,89.2,69.2,62.3,13.8,7.0,7,3,1,85.5
1.9,80.8,62.8,47.2,14.1,8.0,5,2,0,56.0
1.4,84.8,45.9,58.7,10.9,5.5,5,2,1,58.7
4.6,83.7,56.5,54.1,13.8,6.6,8,3,1,70.1
4.7,90.4,73.5,67.4,17.1,4.9,9,1,0,72.6
6.2,92.7,76.1,74.6,18.1,6.4,7,2,1,87.6
5.4,83.5,67.8,57.0,15.9,6.8,4,3,1,77.9
4.8,86.4,84.2,67.6,16.0,5.9,8,2,1,81.6
2.7,96.3,73.6,69.9,14.5,6.3,9,3,0,71.8
4.7,84.4,57.5,46.7,12.5,5.3,8,3,0,65.0
4.8,75.1,64.1,52.9,14.2,6.9,7,2,1,66.5
2.7,83.7,48.4,49.1,13.9,8.0,8,1,1,61.4
10.0,74.8,66.5,45.8,13.1,5.6,6,2,0,79.6
5.3,96.3,83.6,86.5,17.6,6.1,8,1,0,86.1
2.2,78.2,77.6,48.3,19.0,7.4,5,3,0,68.0
6.2,98.2,87.6,60.0,18.5,8.1,8,3,0,93.1
6.8,73.6,63.8,62.4,15.7,5.2,8,2,0,73.3
